air_force_blue_(raf),"""Air Force Blue (Raf)""",#000000,93,138,168
air_force_blue_(usaf),"""Air Force Blue (Usaf)""",#000000,0,48,143
air_superiority_blue,"""Air Superiority Blue""",#000000,114,160,193
alabama_crimson,"""Alabama Crimson""",#000000,163,38,56
alice_blue,"""Alice Blue""",#000000,240,248,255
alizarin_crimson,"""Alizarin Crimson""",#000000,227,38,54
alloy_orange,"""Alloy Orange""",#000000,196,98,16
almond,"""Almond""",#000000,239,222,205
amaranth,"""Amaranth""",#000000,229,43,80
amber,"""Amber""",#000000,255,191,0
amber_(sae_ece),"""Amber (Sae/Ece)""",#000000,255,126,0
american_rose,"""American Rose""",#000000,255,3,62
amethyst,"""Amethyst""",#000000,153,102,204
android_green,"""Android Green""",#000000,164,198,57
anti-flash_white,"""Anti-Flash White""",#000000,242,243,244
antique_brass,"""Antique Brass""",#000000,205,149,117
antique_fuchsia,"""Antique Fuchsia""",#000000,145,92,131
antique_ruby,"""Antique Ruby""",#000000,132,27,45
antique_white,"""Antique White""",#000000,250,235,215
ao_(english),"""Ao (English)""",#000000,0,128,0
apple_green,"""Apple Green""",#000000,141,182,0
apricot,"""Apricot""",#000000,251,206,177
aqua,"""Aqua""",#000000,0,255,255
aquamarine,"""Aquamarine""",#000000,127,255,212
army_green,"""Army Green""",#000000,75,83,32
arsenic,"""Arsenic""",#000000,59,68,75
arylide_yellow,"""Arylide Yellow""",#000000,233,214,107
ash_grey,"""Ash Grey""",#000000,178,190,181
asparagus,"""Asparagus""",#000000,135,169,107
atomic_tangerine,"""Atomic Tangerine""",#000000,255,153,102
auburn,"""Auburn""",#000000,165,42,42
aureolin,"""Aureolin""",#000000,253,238,0
aurometalsaurus,"""Aurometalsaurus""",#000000,110,127,128
avocado,"""Avocado""",#000000,86,130,3
azure,"""Azure""",#000000,0,127,255
azure_mist_web,"""Azure Mist/Web""",#000000,240,255,255
baby_blue,"""Baby Blue""",#000000,137,207,240
baby_blue_eyes,"""Baby Blue Eyes""",#000000,161,202,241
baby_pink,"""Baby Pink""",#000000,244,194,194
ball_blue,"""Ball Blue""",#000000,33,171,205
banana_mania,"""Banana Mania""",#000000,250,231,181
banana_yellow,"""Banana Yellow""",#000000,255,225,53
barn_red,"""Barn Red""",#000000,124,10,2
battleship_grey,"""Battleship Grey""",#000000,132,132,130
bazaar,"""Bazaar""",#000000,152,119,123
beau_blue,"""Beau Blue""",#000000,188,212,230
beaver,"""Beaver""",#000000,159,129,112
beige,"""Beige""",#000000,245,245,220
big_dip_o’ruby,"""Big Dip O’Ruby""",#000000,156,37,66
bisque,"""Bisque""",#000000,255,228,196
bistre,"""Bistre""",#000000,61,43,31
bittersweet,"""Bittersweet""",#000000,254,111,94
bittersweet_shimmer,"""Bittersweet Shimmer""",#000000,191,79,81
black,"""Black""",#000000,0,0,0
black_bean,"""Black Bean""",#000000,61,12,2
black_leather_jacket,"""Black Leather Jacket""",#000000,37,53,41
black_olive,"""Black Olive""",#000000,59,60,54
blanched_almond,"""Blanched Almond""",#000000,255,235,205
blast-off_bronze,"""Blast-Off Bronze""",#000000,165,113,100
bleu_de_france,"""Bleu De France""",#000000,49,140,231
blizzard_blue,"""Blizzard Blue""",#000000,172,229,238
blond,"""Blond""",#000000,250,240,190
blue,"""Blue""",#000000,0,0,255
blue_bell,"""Blue Bell""",#000000,162,162,208
blue_(crayola),"""Blue (Crayola)""",#000000,31,117,254
blue_gray,"""Blue Gray""",#000000,102,153,204
blue-green,"""Blue-Green""",#000000,13,152,186
blue_(munsell),"""Blue (Munsell)""",#000000,0,147,175
blue_(ncs),"""Blue (Ncs)""",#000000,0,135,189
blue_(pigment),"""Blue (Pigment)""",#000000,51,51,153
blue_(ryb),"""Blue (Ryb)""",#000000,2,71,254
blue_sapphire,"""Blue Sapphire""",#000000,18,97,128
blue-violet,"""Blue-Violet""",#000000,138,43,226
blush,"""Blush""",#000000,222,93,131
bole,"""Bole""",#000000,121,68,59
bondi_blue,"""Bondi Blue""",#000000,0,149,182
bone,"""Bone""",#000000,227,218,201
boston_university_red,"""Boston University Red""",#000000,204,0,0
bottle_green,"""Bottle Green""",#000000,0,106,78
boysenberry,"""Boysenberry""",#000000,135,50,96
brandeis_blue,"""Brandeis Blue""",#000000,0,112,255
brass,"""Brass""",#000000,181,166,66
brick_red,"""Brick Red""",#000000,203,65,84
bright_cerulean,"""Bright Cerulean""",#000000,29,172,214
bright_green,"""Bright Green""",#000000,102,255,0
bright_lavender,"""Bright Lavender""",#000000,191,148,228
bright_maroon,"""Bright Maroon""",#000000,195,33,72
bright_pink,"""Bright Pink""",#000000,255,0,127
bright_turquoise,"""Bright Turquoise""",#000000,8,232,222
bright_ube,"""Bright Ube""",#000000,209,159,232
brilliant_lavender,"""Brilliant Lavender""",#000000,244,187,255
brilliant_rose,"""Brilliant Rose""",#000000,255,85,163
brink_pink,"""Brink Pink""",#000000,251,96,127
british_racing_green,"""British Racing Green""",#000000,0,66,37
bronze,"""Bronze""",#000000,205,127,50
brown_(traditional),"""Brown (Traditional)""",#000000,150,75,0
bubble_gum,"""Bubble Gum""",#000000,255,193,204
bubbles,"""Bubbles""",#000000,231,254,255
buff,"""Buff""",#000000,240,220,130
bulgarian_rose,"""Bulgarian Rose""",#000000,72,6,7
burgundy,"""Burgundy""",#000000,128,0,32
burlywood,"""Burlywood""",#000000,222,184,135
burnt_orange,"""Burnt Orange""",#000000,204,85,0
burnt_sienna,"""Burnt Sienna""",#000000,233,116,81
burnt_umber,"""Burnt Umber""",#000000,138,51,36
byzantine,"""Byzantine""",#000000,189,51,164
byzantium,"""Byzantium""",#000000,112,41,99
cadet,"""Cadet""",#000000,83,104,114
cadet_blue,"""Cadet Blue""",#000000,95,158,160
cadet_grey,"""Cadet Grey""",#000000,145,163,176
cadmium_green,"""Cadmium Green""",#000000,0,107,60
cadmium_orange,"""Cadmium Orange""",#000000,237,135,45
cadmium_red,"""Cadmium Red""",#000000,227,0,34
cadmium_yellow,"""Cadmium Yellow""",#000000,255,246,0
café_au_lait,"""Café Au Lait""",#000000,166,123,91
café_noir,"""Café Noir""",#000000,75,54,33
cal_poly_green,"""Cal Poly Green""",#000000,30,77,43
cambridge_blue,"""Cambridge Blue""",#000000,163,193,173
camel,"""Camel""",#000000,193,154,107
cameo_pink,"""Cameo Pink""",#000000,239,187,204
camouflage_green,"""Camouflage Green""",#000000,120,134,107
canary_yellow,"""Canary Yellow""",#000000,255,239,0
candy_apple_red,"""Candy Apple Red""",#000000,255,8,0
candy_pink,"""Candy Pink""",#000000,228,113,122
capri,"""Capri""",#000000,0,191,255
caput_mortuum,"""Caput Mortuum""",#000000,89,39,32
cardinal,"""Cardinal""",#000000,196,30,58
caribbean_green,"""Caribbean Green""",#000000,0,204,153
carmine,"""Carmine""",#000000,150,0,24
carmine_(m&p),"""Carmine (M&P)""",#000000,215,0,64
carmine_pink,"""Carmine Pink""",#000000,235,76,66
carmine_red,"""Carmine Red""",#000000,255,0,56
carnation_pink,"""Carnation Pink""",#000000,255,166,201
carnelian,"""Carnelian""",#000000,179,27,27
carolina_blue,"""Carolina Blue""",#000000,153,186,221
carrot_orange,"""Carrot Orange""",#000000,237,145,33
catalina_blue,"""Catalina Blue""",#000000,6,42,120
ceil,"""Ceil""",#000000,146,161,207
celadon,"""Celadon""",#000000,172,225,175
celadon_blue,"""Celadon Blue""",#000000,0,123,167
celadon_green,"""Celadon Green""",#000000,47,132,124
celeste_(colour),"""Celeste (Colour)""",#000000,178,255,255
celestial_blue,"""Celestial Blue""",#000000,73,151,208
cerise,"""Cerise""",#000000,222,49,99
cerise_pink,"""Cerise Pink""",#000000,236,59,131
cerulean_blue,"""Cerulean Blue""",#000000,42,82,190
cerulean_frost,"""Cerulean Frost""",#000000,109,155,195
cg_blue,"""Cg Blue""",#000000,0,122,165
cg_red,"""Cg Red""",#000000,224,60,49
chamoisee,"""Chamoisee""",#000000,160,120,90
champagne,"""Champagne""",#000000,250,214,165
charcoal,"""Charcoal""",#000000,54,69,79
charm_pink,"""Charm Pink""",#000000,230,143,172
chartreuse_(traditional),"""Chartreuse (Traditional)""",#000000,223,255,0
chartreuse_(web),"""Chartreuse (Web)""",#000000,127,255,0
cherry_blossom_pink,"""Cherry Blossom Pink""",#000000,255,183,197
chestnut,"""Chestnut""",#000000,205,92,92
china_pink,"""China Pink""",#000000,222,111,161
china_rose,"""China Rose""",#000000,168,81,110
chinese_red,"""Chinese Red""",#000000,170,56,30
chocolate_(traditional),"""Chocolate (Traditional)""",#000000,123,63,0
chocolate_(web),"""Chocolate (Web)""",#000000,210,105,30
chrome_yellow,"""Chrome Yellow""",#000000,255,167,0
cinereous,"""Cinereous""",#000000,152,129,123
cinnabar,"""Cinnabar""",#000000,227,66,52
citrine,"""Citrine""",#000000,228,208,10
classic_rose,"""Classic Rose""",#000000,251,204,231
cobalt,"""Cobalt""",#000000,0,71,171
coffee,"""Coffee""",#000000,111,78,55
columbia_blue,"""Columbia Blue""",#000000,155,221,255
congo_pink,"""Congo Pink""",#000000,248,131,121
cool_black,"""Cool Black""",#000000,0,46,99
cool_grey,"""Cool Grey""",#000000,140,146,172
copper,"""Copper""",#000000,184,115,51
copper_(crayola),"""Copper (Crayola)""",#000000,218,138,103
copper_penny,"""Copper Penny""",#000000,173,111,105
copper_red,"""Copper Red""",#000000,203,109,81
copper_rose,"""Copper Rose""",#000000,153,102,102
coquelicot,"""Coquelicot""",#000000,255,56,0
coral,"""Coral""",#000000,255,127,80
coral_red,"""Coral Red""",#000000,255,64,64
cordovan,"""Cordovan""",#000000,137,63,69
corn,"""Corn""",#000000,251,236,93
